"","diameter","albedo","a","q","n","per","moid","t_jup","sigma_a","class_var"
"495",62.218,0.057,2.73268401884201,2.23920792725082,0.218182517434895,1649.99471191555,1.228,3.276,1.215e-08,"C"
"502",22.298,0.041,2.47365818645246,2.11282038935131,0.253334619155872,1421.0454188991,1.13136,3.465,8.2375e-09,"C"
"503",66.27,0.0767,3.16342733066651,2.99223477016985,0.175173045390083,2055.11070038394,2.01066,3.185,1.8003e-08,"C"
"515",41.851,0.031,2.78661166608147,2.66099199207948,0.211879723484685,1699.07716547507,1.64431,3.329,1.0544e-08,"C"
"528",59.246,0.042,2.93194435547339,2.59597770846799,0.196322686498532,1833.71573820986,1.6187,3.244,1.3758e-08,"C"
"540",66.04,0.093,2.86570966795749,2.42062151045656,0.203168226991396,1771.93060810265,1.43016,3.145,1.2668e-08,"C"
"541",47.524,0.031,3.14092288484314,2.76330274176933,0.177059063629262,2033.21983422318,1.7807,3.189,1.7172e-08,"C"
"543",32.587,0.063,2.70051806251106,2.06000645044437,0.222092270627667,1620.94790144017,1.05075,3.316,9.3666e-09,"C"
"547",37.199,0.117,2.68556787083573,2.05724861332792,0.22394938549634,1607.50608536893,1.07527,3.318,1.0178e-08,"C"
"548",28.194,0.095,2.78354374869337,2.76813213296622,0.212230108797367,1696.27204188884,1.78063,3.312,1.2756e-08,"C"
"562",33.316,0.03,2.63469841147547,2.07113268148475,0.230466448571548,1562.04949671118,1.16653,3.256,1.4765e-08,"C"
"565",10.614,0.143,2.36455915464853,1.68709320873557,0.271068341696857,1328.07836483759,0.682309,3.465,6.8378e-09,"C"
"572",35.406,0.066,2.75052966844805,2.16779732929645,0.216062587710366,1666.18387669495,1.17218,3.294,1.3497e-08,"C"
"584",24.507,0.118,2.6717051944979,2.27546472061672,0.225694653746664,1595.07544385208,1.29105,3.335,1.1013e-08,"C"
"587",22.12,0.0754,2.72884592728927,2.04127099304996,0.218642986190086,1646.51977304691,1.07002,3.288,1.009e-08,"C"
"594",23.825,0.081,2.68301075014575,2.10909231432074,0.22426962388953,1605.21070021203,1.12326,3.334,9.9894e-09,"C"
"598",69.242,0.059,3.21196077261197,2.94538380601471,0.17121772607717,2102.58603620132,2.00021,3.115,1.989e-08,"C"
"605",39.564,0.05,2.75455867202807,2.49174312092512,0.21558871949073,1669.84618142546,1.51178,3.321,1.169e-08,"C"
"607",18.224,0.068,2.73440343768232,2.01830454742182,0.217976756932037,1651.55223459098,1.04631,3.289,9.9293e-09,"C"
"633",25.62,0.031,2.77687438477149,2.13567586110218,0.212995153868826,1690.17929967415,1.13412,3.28,1.0505e-08,"C"
"638",20.221,0.032,2.4498730082719,2.01111268558177,0.257032899060105,1400.59891677842,1.0167,3.472,9.2762e-09,"C"
"640",25.642,0.033,2.6616854096822,2.30837558487481,0.226970277135483,1586.11076544225,1.33395,3.344,1.0764e-08,"C"
"641",23.894,0.049,2.78486948855938,2.25249166381917,0.212078578306165,1697.4840310382,1.25114,3.292,1.2892e-08,"C"
"645",18.196,0.233,3.02672284476219,2.66895553250484,0.187173814820729,1923.34595704426,1.66254,3.203,1.51e-08,"K"
"649",22.24,0.042,2.7853352928475,2.2525506059967,0.212025380232753,1697.90993703116,1.2361,3.294,1.3029e-08,"C"
"658",34.437,0.067,2.89901761485475,2.48859307903193,0.199676884827481,1802.91274230884,1.4766,3.228,1.2663e-08,"C"
"659",31.037,0.028,2.67740064450839,2.31319086502615,0.22497487982617,1600.17865229291,1.3483,3.342,1.133e-08,"C"
"663",9.399,0.175,2.35149017533725,2.1713050113405,0.273331271115241,1317.08310772908,1.20445,3.541,7.64e-09,"C"
"671",33.901,0.031,3.12276513414289,2.54256676306411,0.178605608047379,2015.61420123215,1.60926,3.139,2.0208e-08,"C"
"679",13.356,0.131,2.69879408453491,2.46564908885466,0.222305111980471,1619.39595897203,1.47927,3.36,1.2647e-08,"L"
"691",15.857,0.074,2.74768708210912,2.30082726237807,0.216397961805925,1663.60162080853,1.3131,3.316,1.4121e-08,"C"
"702",31.229,0.072,2.75949149287137,2.59558839621261,0.215010903722456,1674.33369083784,1.58101,3.337,1.3646e-08,"T"
"707",12.895,0.074,2.34191284098827,2.00046262771571,0.275009680844033,1309.04482669527,1.01049,3.529,8.2428e-09,"C"
"709",10.42,0.227,2.37121555644038,1.99986522400308,0.269927741303571,1333.69026192506,1.00327,3.521,8.9773e-09,"C"
"713",37.702,0.031,2.888845574758,2.47711461344486,0.200732449141551,1793.43201131441,1.54197,3.231,1.6232e-08,"C"
"725",16.099,0.142,2.72766584050032,2.48832158155078,0.218784890818176,1645.45183469357,1.51156,3.338,1.028e-08,"C"
"732",16.784,0.041,2.45626162915669,1.97881195453666,0.256030755690713,1406.0810742397,0.967543,3.465,9.5608e-09,"C"
"743",9.882,0.256,2.44366908995546,2.24897645242909,0.258012341884984,1395.28209142987,1.26238,3.491,1.0196e-08,"V"
"744",27.746,0.039,3.12784307897295,2.80434464782008,0.178170844601189,2020.53260063851,1.82002,3.205,1.7614e-08,"B"
"751",15.83,0.162,2.72095255056878,2.36719595880349,0.219595087961274,1639.38093216132,1.36135,3.337,1.3101e-08,"C"
"756",4.467,0.646,2.3303942273352,1.97451820729036,0.277051164653659,1299.39897726124,0.989774,3.551,8.4852e-09,"C"
"758",9.595,0.073,2.31411283626207,1.84075692148945,0.279980172559188,1285.80533653288,0.872874,3.535,9.7428e-09,"B"
"766",7.084,0.149,2.4504197127462,2.3298481726462,0.256946885306737,1401.06777153668,1.34751,3.481,9.6859e-09,"L"
"775",69.492,0.03,3.18120740680925,2.53322971411105,0.173706510665055,2072.46117961669,1.61401,3.1,1.9376e-08,"C"
"779",6.519,0.456,2.28983661036416,2.12654377496853,0.284444363236192,1265.62536133321,1.14321,3.585,8.2737e-09,"V"
"781",16.176,0.155,3.12215076648147,2.91050129378482,0.178658328871496,2015.0194075695,1.92548,3.16,1.8272e-08,"T"
"796",19.499,0.066,2.71835249170829,2.54107567161693,0.219910221849886,1637.03168034518,1.55318,3.353,1.4644e-08,"C"
"801",20.835,0.071,3.08794948121468,2.58955715784107,0.181634688685064,1982.0002589054,1.6072,3.205,1.603e-08,"C"
"802",4.361,0.354,2.3772230545163,1.97681959947895,0.26890518340671,1338.76184697977,0.991214,3.52,8.3489e-09,"C"
"803",18.984,0.132,2.66552645004952,2.18302400172372,0.226479855523009,1589.54534463409,1.22851,3.303,1.4031e-08,"C"
"816",20.746,0.029,2.47360357754824,2.00360658981045,0.25334300837541,1420.99836229364,1.02138,3.406,1.3665e-08,"C"
"820",6.721,0.125,2.1716649246921,2.1167407699036,0.30797456356488,1168.92770569398,1.12343,3.687,6.4906e-09,"C"
"828",7.251,0.212,2.3244281977129,2.21800917649272,0.278118495284264,1294.41229585269,1.24574,3.562,8.752e-09,"C"
"838",16.924,0.05,2.79035631273329,2.28609206747011,0.211453354039964,1702.50314370498,1.27186,3.295,1.4075e-08,"C"
"843",31.899,0.071,2.78723076280478,2.56117821998427,0.211809133657696,1699.64341850241,1.5765,3.286,1.5966e-08,"C"
"848",12.37,0.0504,2.28745902633351,1.93511763646408,0.284887955496038,1263.65468618419,0.956195,3.576,8.1508e-09,"C"
"857",14.758,0.046,2.62776604232914,1.89860788237415,0.231379047939245,1555.88850073637,0.909576,3.343,8.9427e-09,"C"
"875",15.049,0.055,2.75378925081379,2.5570449691608,0.215679080501771,1669.14658186816,1.54203,3.335,1.5146e-08,"C"
"880",31.996,0.058,2.84819240866809,2.32243212428824,0.205045426578283,1755.7085081464,1.3636,3.244,1.8025e-08,"C"
"886",9.535,0.029,2.38946829167662,1.7718023009665,0.266840758337371,1349.1192359184,0.808239,3.469,8.5956e-09,"C"
"889",24.207,0.03,2.78788497700275,2.13701237316905,0.211734582296671,1700.24185985635,1.13776,3.276,1.4182e-08,"C"
"890",15.479,0.091,2.69812286159554,2.17900843507111,0.222388072752603,1618.79185130798,1.22318,3.298,1.6695e-08,"C"
"896",14.244,0.056,2.42878273999706,1.94510011169741,0.260388063629546,1382.55185349883,0.948288,3.478,1.0433e-08,"C"
"898",10.938,0.128,2.40023845785147,1.74241223435205,0.265046753468357,1358.2509322944,0.728648,3.447,8.6776e-09,"C"
"900",3.668,1,2.33541227376504,1.88531187435426,0.276158704324643,1303.59823667479,0.869192,3.536,9.2636e-09,"C"
"916",15.838,0.064,2.79661227229214,2.2990158070273,0.210744226298759,1708.23185205392,1.29059,3.292,1.522e-08,"C"
"942",8.41,0.208,2.74165224722668,2.44393679472844,0.2171128469705,1658.12389742609,1.44529,3.338,1.109e-08,"L"
"944",11.125,0.061,2.74354646374235,2.57174315447134,0.216888035170262,1659.84259905066,1.57327,3.342,1.555e-08,"C"
"951",17.581,0.033,2.31892384905614,2.05535155433704,0.279109322933973,1289.81718065062,1.04358,3.535,9.4765e-09,"C"
"955",22.674,0.081,2.71097408815006,2.09984955795331,0.220808620276308,1630.37113111578,1.13833,3.295,1.4814e-08,"B"
"968",10.516,0.057,2.6077770682789,1.90480507162407,0.234044468284498,1538.16923185039,0.961449,3.322,1.4166e-08,"C"
"970",13.918,0.029,2.34530877011535,1.95154401739128,0.274412589804174,1311.89316152332,0.979082,3.518,7.8778e-09,"C"
"971",12.248,0.092,2.4578633513761,1.96701803293176,0.255780524123756,1407.45665149165,0.965319,3.462,1.0556e-08,"C"
"974",28.072,0.056,2.74571479558513,1.98678280146647,0.216631166335761,1661.81074537552,1.09742,3.144,1.623e-08,"C"
"977",13.398,0.222,2.7835344351676,2.40527920818159,0.212231173960536,1696.26352850002,1.40922,3.251,1.4296e-08,"L"
"994",15.004,0.072,2.79187963713547,2.12956086690107,0.211280315717891,1703.89749171279,1.14587,3.278,1.4614e-08,"C"
"1001",12.656,0.076,2.78259822701869,2.55888964395488,0.212338291077317,1695.40782387156,1.56211,3.327,1.3111e-08,"C"
